Cod.Departamento,Departamento,Cod.Municipio,Municipio,Agente,Bandera,Direccion,Producto,Precio,Estado,Registro,Periodo,Mes,Direccion_2,Full_Address,Coords
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,BIOACEM AL 9%,8390,1,05/03/2018 12:00:00 AM,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,BIODIESEL EXTRA,8390,1,05/03/2018 12:00:00 AM,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,GASOLINA CORRIENTE OXIGENADA,9090,1,05/03/2018 12:00:00 AM,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TEXACO No 28,TEXACO,CARRERA 14 No. 26-05,GASOLINA EXTRA OXIGENADA,12060,1,05/03/2018 12:00:00 AM,2018,5,CARRERA 14 No. 26-05,"CARRERA 14 No. 26-05, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,BIODIESEL EXTRA,8530,1,05/02/2018 12:00:00 AM,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(""4° 36' 31.54608'' N"", ""74° 4' 15.31884'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,BIOACEM AL 9%,8530,1,05/02/2018 12:00:00 AM,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(""4° 36' 31.54608'' N"", ""74° 4' 15.31884'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,GASOLINA CORRIENTE OXIGENADA,8990,1,05/02/2018 12:00:00 AM,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(""4° 36' 31.54608'' N"", ""74° 4' 15.31884'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS EL JARDIN,TEXACO,AVENIDA CARRERA 72 No. 131-98,GASOLINA EXTRA OXIGENADA,11600,1,05/02/2018 12:00:00 AM,2018,5,AVENIDA CARRERA 72 No. 131-98,"AVENIDA CARRERA 72 No. 131-98, Bogota d.c., Colombia","(""4° 36' 31.54608'' N"", ""74° 4' 15.31884'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,GASOLINA EXTRA OXIGENADA,11990,1,05/02/2018 12:00:00 AM,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,BIOACEM AL 9%,8460,1,05/02/2018 12:00:00 AM,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,GASOLINA CORRIENTE OXIGENADA,9090,1,05/02/2018 12:00:00 AM,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIO DE SERVICIO PALOQUEMADO,TEXACO,AK 30 No. 18A-56,BIODIESEL EXTRA,8760,1,05/02/2018 12:00:00 AM,2018,5,AK 30 No. 18A-56,"AK 30 No. 18A-56, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,GASOLINA CORRIENTE OXIGENADA,8890,1,05/02/2018 12:00:00 AM,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
